Society_Polity,State_Formation_low,State_Formation_high,formation,Adulthood_Date,Peak_Power,Collapse_low,Collapse_high,collapse,Approx_age,age,Political_Type,Political_Sub_Type,Region,Capital,Source,Proximate_Cause,Underlying_Cause,Collapse_Tra,Notes,Relatationship,Capital_1,lat1,continent,lon1,Capital_2,lat2,lon2,Capital_3,lat3,lon3,violience_attractor,censored
Fulani Empire/Sokoto Caliphate,1804,,1804,1808,1830,1903,1906,1904.5,99-102 years,100.5,Empire,Caliphate,Northern Africa,Sokoto,Pizzo (2016),Conquest by the British,,,Last independent Sultan Muhammadu Attahiru I killed in 1903. Some resistance until 1906,,,,,,,,,,,,,FALSE
Kingdom of Bavaria,1805,1816,1810.5,,,,1871,1871,55-66 years,60.5,Nation state,unknown,Western Europe,,Correlates of War (2020),,,,Succeeded from the Electorate of Bavaria in 1805. It was folded into the German Empire during the unification of Germany in 1871. In 1918 Bavaria became a republic and was succeded by the Free State of Bavaria.,,Munich,48.133333,Europe,11.566667,,,,,,,,FALSE
Kingdom of Wuerttemburg,1805,1816,1810.5,,,1871,1918,1894.5,55-113 years,84,Nation state,unknown,Western Europe,,Correlates of War (2020),,,,,,Stuttgart,48.783333,Europe,9.183333,,,,,,,,FALSE
Mehmed Ali Dynasty,1805,,1805,,,1882,,1882,77-77 years,77,Empire,unknown,Northern Africa,Cairo,Fahmy (2016),Fell under British occupation in 1882.,,,,,,,,,,,,,,,,FALSE
Grand Duchy of Baden,1806,1816,1811,,,1871,1918,1894.5,55-112 years,83.5,Nation state,unknown,Western Europe,,Correlates of War (2020),,,,,,Karlsruhe,49.00921,Europe,8.403951,,,,,,,,FALSE
Hesse Grand Ducal,1806,1816,1811,,,1867,1918,1892.5,51-112 years,81.5,Nation state,unknown,Western Europe,,Correlates of War (2020),,,,Established in 1806 during Geran mediatization. Became art of the German Empire in 1871 and then a republic in  1918 after the defeat of Germany in World War I.,,Darmstadt,49.872222,Europe,8.652778,,,,,,,,FALSE
Kngdom of Saxony,1806,1816,1811,,,1867,1918,1892.5,51-112 years,81.5,Nation state,unknown,Western Europe,,Correlates of War (2020),,,,Joined the North German Confederation I n 1866. It became part of the German Empire shortly afterwards in 1871.,,Dresden,51.033333,Europe,13.733333,,,,,,,,FALSE
Spain,1810,1830,1820,,,,2016,2016,186-206 years,196,Nation state,unknown,Southern Europe,,Correlates of War (2020),,,,,,Madrid,40.4,Europe,-3.683333,,,,,,,,TRUE
Kingdom of Hanover,1814,1837,1825.5,,,,1866,1866,29-52 years,40.5,Nation state,unknown,Western Europe,,Correlates of War (2020),,,,"Established iby the Congress of Vienna in 1814. However, the monarch resided in London until 1837. Queen Victoria ascended to the throne and a female could not be the ruler of Hanover.",,Hanover,52.366667,Europe,9.716667,,,,,,,,FALSE
Grand Duchy of Mecklenburg Schwerin,1815,1843,1829,,,1867,1918,1892.5,24-103 years,63.5,Nation state,unknown,Western Europe,,Correlates of War (2020),,,,It was a sovereign member state of the German confederation from 1815 onwards. It then became a member of the German Empire in 1871 before becoming a rebpublic in the wake of World War I.,,Schwerin,53.633333,Europe,11.416667,,,,,,,,FALSE
Italy,1816,1861,1838.5,,,,2016,2016,155-200 years,177.5,Nation state,unknown,Southern Europe,,Correlates of War (2020),,,,,,Rome,41.9,Europe,12.483333,,,,,,,,TRUE
Portugal,1816,1820,1818,,,,2016,2016,196-200 years,198,Nation state,unknown,Southern Europe,,Correlates of War (2020),,,,,,Lisbon,38.71666667,Europe,-9.133333,,,,,,,,TRUE
United Kingdom,1816,,1816,,,,2016,2016,200-200 years,200,Nation state,unknown,Western Europe,,Correlates of War (2020),,,,,,London,51.5,Europe,-0.083333,,,,,,,,TRUE
Kingdom of the Two Sicilies,1816,,1816,,,,1861,1861,45-45 years,45,Nation state,unknown,Southern Europe,,Correlates of War (2020),,,,,,Palermo,38.116667,Europe,13.366667,Naples,40.833333,14.25,,,,,FALSE
Denmark,1816,,1816,,,,1940,1940,124-124 years,124,Nation state,unknown,Northern Europe,,Correlates of War (2020),,,,,,Copenhagen,55.66666667,Europe,12.583333,,,,,,,,FALSE
Netherlands,1816,,1816,,,,1940,1940,124-124 years,124,Nation state,unknown,Western Europe,,Correlates of War (2020),,,,,,Amsterdam,52.35,Europe,4.916667,,,,,,,,FALSE
France,1816,,1816,,,,1942,1942,126-126 years,126,Nation state,unknown,Western Europe,,Correlates of War (2020),,,,,,Paris,48.86666667,Europe,2.333333,,,,,,,,FALSE
Sweden,1816,,1816,,,,2016,2016,200-200 years,200,Nation state,unknown,Northern Europe,,Correlates of War (2020),,,,,,Stockholm,59.33333333,Europe,18.05,,,,,,,,TRUE
Turkey,1816,,1816,,,,2016,2016,200-200 years,200,Nation state,unknown,Western Asia,,Correlates of War (2020),,,,,,Ankara,39.93333333,Asia,32.866667,,,,,,,,TRUE
Zulu Kingdom,1816,,1816,,1828,1879,,1879,63-63 years,63,Empire,unknown,Southern Africa,,Ndlovu-Gatsheni (2016),Defeated by the British,,,Late start date refers to appointment of Shaka kaSenzangakhona as Zulu king - Shaka led the expansion and consolidation of the Zulu kingdom. Actual beginnings of Zulu likely earlier but encyclopedia entry makes no reference to before 1816,,,,,,,,,,,,,FALSE
Kingdom of Hawaii - Post-Kamehameha Period,1820,,1820,,,1854,,1854,34-34 years,34,Kingdom,Dynasty,Polynesia,None,Seshat (2020),Death of King Kameameha I led to the abolition of the Kapu which preserved social hierachy. The polity formally ended in 1856 with the death of Kamehameha III.,,,,,L?hain?,20.886111,,-156.674722,Honolulu,21.306944,-157.858333,,,,,FALSE
Colombia,1821,1831,1826,,,,2016,2016,185-195 years,190,Nation state,unknown,South America,,Correlates of War (2020),,,,"Constitution for the new Republic adopted in 1821. However, Gran Colombia broke up in 1831, including into New Grenada, Venezuela and Ecuador.",,Bogotá,4.711111,S.America,-74.072222,,,,,,,,TRUE
Gaza Kingdom,1821,,1821,,,1885,1906,1895.5,64-85 years,74.5,Kingdom,unknown,Eastern africa,,Ndlovu-Gatsheni (2016),Colonisation by the Portuguese,,,"These polities come under the Nguni Empires entry in The Encyclopedia of Empires: Dates/ reasons for collapse/transformation limited for each but split up as they are distinct polities. Later date comes from the exile of Gungunyana, and the earlier from the offical annexation by the Portuguese.",,,,,,,,,,,,,FALSE
Brazil,1822,,1822,,,,2016,2016,194-194 years,194,Nation state,unknown,South America,,Correlates of War (2020),,,,,,Brasilia,-15.78333333,S.America,-47.916667,,,,,,,,TRUE
Empire of Brazil,1822,,1822,,,1889,,1889,67-67 years,67,Empire,unknown,South America,Rio de Janiero,O'Rourke (2016),Military Coup,Slave-owning elites switched support to Republican party after emancipation of the slaves by Princess Isabel. Military elites disgruntled with their status since the Paraguayan War.,,Could be grouped under Brazil (Nation state),Gained independence from Portuguese Empire,,,,,,,,,,,,FALSE
Tunisia,1825,,1825,,,,1881,1881,56-56 years,56,Nation state,unknown,Northern Africa,,Correlates of War (2020),,,,,,Tunis,36.8,Africa,10.183333,,,,,,,,FALSE
Greece,1828,,1828,,,,1941,1941,113-113 years,113,Nation state,unknown,Southern Europe,,Correlates of War (2020),,,,,,Athens,37.98333333,Europe,23.733333,,,,,,,,FALSE
Belgium,1830,,1830,,,,1940,1940,110-110 years,110,Nation state,unknown,Western Europe,,Correlates of War (2020),,,,,,Brussels,50.83333333,Europe,4.333333,,,,,,,,FALSE
Mexico,1831,,1831,,,,2016,2016,185-185 years,185,Nation state,unknown,Central America,Mexico City,Correlates of War (2020),,,,,,Mexico City,19.433333,N.America,-99.133333,,,,,,,,TRUE
Chile,1839,,1839,,,,2016,2016,177-177 years,177,Nation state,unknown,South America,,Correlates of War (2020),,,,,,Santiago,-33.45,S.America,-70.666667,,,,,,,,TRUE
Peru,1839,,1839,,,,2016,2016,177-177 years,177,Nation state,unknown,South America,,Correlates of War (2020),,,,,,Lima,-12.05,S.America,-77.05,,,,,,,,TRUE
Argentina,1841,,1841,,,,2016,2016,175-175 years,175,Nation state,unknown,South America,,Correlates of War (2020),,,,,,Buenos Aires,-34.58333333,S.America,-58.666667,,,,,,,,TRUE
Venezuela,1841,,1841,,,,2016,2016,175-175 years,175,Nation state,unknown,South America,,Correlates of War (2020),,,,,,Caracas,10.480556,S.America,-66.903611,,,,,,,,TRUE
Empire of Japan,1845,1867,1856,,1942,1945,,1945,78-100 years,89,Empire,unknown,Eastern Asia,"Kyoto, Tokyo City, Tokyo","Correlates of War (2020) for early state formation and late state end. Early formation date (1845),underlying causes of collapse and notes from Cribb (2016).",Defeat in WWII and the establishment of the Japanese Constitution.,Ongoing poor relations with the US; US trade embargos in response to Japanese control of China. Japanese conquest of Southeast Asia (1940s).,,"Early formation date (1845) refers to the beginning of formal Japanese imperial expansion with claims over the northern islands of Sakhalin and
the Kuril Archipelago.",,Kyoto,35.01166667,Asia,135.7683333,Tokyo,35.689722,139.692222,,,,,FALSE
Paraguay,1846,,1846,,,,1870,1870,24-24 years,24,Nation state,unknown,South America,,Correlates of War (2020),,,,,,Asuncion,-25.26666667,S.America,-57.666667,,,,,,,,FALSE
Morocco,1847,,1847,,,,1912,1912,65-65 years,65,Nation state,unknown,Northern Africa,,Correlates of War (2020),,,,,,Rabat,34.01666667,Africa,-6.816667,,,,,,,,FALSE
Bolivia,1848,,1848,,,,2016,2016,168-168 years,168,Nation state,unknown,South America,,Correlates of War (2020),,,,,,La Paz,-16.5,S.America,-68.15,,,,,,,,TRUE
Ecuador,1854,,1854,,,,2016,2016,162-162 years,162,Nation state,unknown,South America,,Correlates of War (2020),,,,,,Quito,-0.216666667,S.America,-78.5,,,,,,,,TRUE
Egypt,1855,,1855,,,,1882,1882,27-27 years,27,Nation state,unknown,Western Asia,,Correlates of War (2020),,,,,,Cairo,30.05,Africa,31.25,,,,,,,,FALSE
Iran,1855,,1855,,,,2016,2016,161-161 years,161,Nation state,unknown,Western Asia,,Correlates of War (2020),,,,,,Tehran,35.7,Asia,51.416667,,,,,,,,TRUE
Haiti,1859,,1859,,,,1915,1915,56-56 years,56,Nation state,unknown,Caribbean,Port-au-Prince,Correlates of War (2020),,,,,,Port-au-Prince,18.533333,N.America,-72.333333,,,,,,,,FALSE
China,1860,1912,1886,,,,2016,2016,104-156 years,130,Nation state,unknown,Eastern Asia,,Correlates of War (2020),,,,,,Beijing,39.91666667,Asia,116.383333,,,,,,,,TRUE
Austria-Hungarian Empire,1867,,1867,,,,1918,1918,51-51 years,51,Empire,unknown,Western Europe,Vienna/Budapest,Correlates of War (2020). Collapse information from Hitchins (2016),"Monarchy Imploded, Independent ""German-Austria"" and Hungary came into being","Assasination of Francis Ferdinand in 1914, heir to Habsburg throne which sparked conflict with Serbia and in turn WWI. This produced the background upon which collapse occurred.",,Establishment of the Austrian Empire in 1804. The Austro-Hungarian Compromise took place in 1867 in the aftermath of the Austro-Prussian War.,,Vienna,48.2,Europe,16.366667,Budapest,47.4925,19.051389,,,,,FALSE
Guatemala,1868,,1868,,,,2016,2016,148-148 years,148,Nation state,unknown,Central America,Guatemala City,Correlates of War (2020),,,,,,Guatemala City,14.613333,N.America,-90.535278,,,,,,,,TRUE
German Empire,1871,,1871,,,,1918,1918,47-47 years,47,Nation state,unknown,Western Europe,,"Correlates of War (2020), proximate cause of collapse Biskup and Kohlrausch (2016).",Defeat in the First World War 1918 (Treaty of Versailles 1919),,,German Confederation formed in 1815. Unified into the German Empire in 1871.,,Berlin,52.51666667,Europe,13.4,,,,,,,,FALSE
Wassalou/Wassoulou/Mandinka Empire,1873,,1873,,,,1899,1899,26-26 years,26,Empire,unknown,Western Africa,Bissandugu,Djata (2016).,Conquered by the French.,Conquest.,,,,,,,,,,,,,,,FALSE
El Salvador,1875,,1875,,,,2016,2016,141-141 years,141,Nation state,unknown,Central America,,Correlates of War (2020),,,,,,San Salvador,13.698889,N.America,-89.191389,,,,,,,,TRUE
Paraguay,1876,,1876,,,,2016,2016,140-140 years,140,Nation state,unknown,South America,,Correlates of War (2020),,,,,,Asuncion,-25.26666667,S.America,-57.666667,,,,,,,,TRUE
Yugoslavia,1878,,1878,,,,1941,1941,63-63 years,63,Nation state,unknown,Southern Europe,,Correlates of War (2020),,,,,,Belgrade,44.816667,Europe,20.466667,,,,,,,,FALSE
Romania,1878,,1878,,,,2016,2016,138-138 years,138,Nation state,unknown,Eastern Europe,,Correlates of War (2020),,,,,,Bucharest,44.43333333,Europe,26.1,,,,,,,,TRUE
Uruguay,1882,,1882,,,,2016,2016,134-134 years,134,Nation state,unknown,South America,,Correlates of War (2020),,,,,,Montevideo,-34.85,S.America,-56.166667,,,,,,,,TRUE
Mahdist state,1885,,1885,,,1898,1899,1898.5,13-14 years,13.5,State,unknown,Northern Africa,Omdurman,Searcy (2016),Defeated by Anglo-Egyptian forces,,,,,,,,,,,,,,,,FALSE
Congo Free State,1885,,1885,,,1908,,1908,23-23 years,23,Empire,unknown,Middle Africa,,Stanard (2016),Leopold II ceded the colony to Belgium,"Atrocities of Leopold II's rule came to light; Britain, America, Belgium and others denounced Congo Free State and pressured Leopold II to concede state. Also rebellion and resistance by Africans in the Congo",,,,,,,,,,,,,,,FALSE
Korean Empire,1887,1897,1892,,,1905,1910,1907.5,8-23 years,15.5,Nation state,unknown,South-Eastern Asia,,Correlates of War (2020),,,,,,Hanseong/Seoul,37.566667,Asia,126.966667,,,,,,,,FALSE
Thailand,1887,,1887,,,,2016,2016,129-129 years,129,Nation state,unknown,South-Eastern Asia,,Correlates of War (2020),,,,,,Bangkok,13.75,Asia,100.516667,,,,,,,,TRUE
Dominican Republic,1894,,1894,,,,1916,1916,22-22 years,22,Nation state,unknown,Caribbean,Santo Domingo,Correlates of War (2020),,,,,,Santo Domingo,18.466667,N.America,-69.95,,,,,,,,FALSE
Ethiopia,1898,,1898,,,,1936,1936,38-38 years,38,State,unknown,Eastern Africa,,Correlates of War (2020),,,,,,Addis Ababa,9.033333333,Africa,38.7,,,,,,,,FALSE
Dervish State,1899,,1899,,,,1920,1920,21-21 years,21,Nation state,unknown,Eastern Africa,Taleh,Hoehne (2016),Defeat by the British,,,"Small independent ""state"" which formed from the Dervish uprising against colonial rule in the 1890s.",,,,,,,,,,,,,FALSE
Honduras,1899,,1899,,,,2016,2016,117-117 years,117,Nation state,unknown,Central America,Tegucigalpa,Correlates of War (2020),,,,,,Tegucigalpa,14.1,N.America,-87.216667,,,,,,,,TRUE
Nicaragua,1900,,1900,,,,2016,2016,116-116 years,116,Nation state,unknown,Central America,,Correlates of War (2020),,,,,,Managua,12.1,N.America,-86.233333,,,,,,,,TRUE
Cuba,1902,,1902,,,,1906,1906,4-4 years,4,Nation state,unknown,Caribbean,Havana,Correlates of War (2020),,,,,,Havana,23.136667,N.America,-82.358889,,,,,,,,FALSE
Panama,1903,,1903,,,,2016,2016,113-113 years,113,Nation state,unknown,Central America,,Correlates of War (2020),,,,,,Panama City,8.966667,N.America,-79.533333,,,,,,,,TRUE
Norway,1905,,1905,,,,1940,1940,35-35 years,35,Nation state,unknown,Western Europe,,Correlates of War (2020),,,,,,Oslo,59.91666667,Europe,10.75,,,,,,,,FALSE
Bulgaria,1908,,1908,,,,2016,2016,108-108 years,108,Nation state,unknown,Eastern Europe,,Correlates of War (2020),,,,,,Sofia,42.68333333,Europe,23.316667,,,,,,,,TRUE
Belgian Congo (Belgian Empire),1908,,1908,,,1960,,1960,52-52 years,52,Empire,unknown,Middle Africa,Leopoldville,Stanard (2016),Granted Independence from Belgium,Ghana's independence catalysed political conciousness of Congolese elite. Economic slowdown and rapid urbanisation raised specter of rising unemployment by 1958; resulted in Riots in Leopodville 1959 pressured Belgium to grant independence.,Transformation followed shortly by collapse,"After independence was granted Congo fell into crisis; the Force Publique mutinied, frustrated by lack of opportunity for promotion. Congo's first elected prime minister tortured and murdered. Some order returned in 1965 under Joseph-Desire Mobutu's Dictatorship.",,,,,,,,,,,,,FALSE
Cuba,1909,,1909,,,,2016,2016,107-107 years,107,Nation state,unknown,Caribbean,Havana,Correlates of War (2020),,,,,,Havana,23.136667,N.America,-82.358889,,,,,,,,TRUE
Albania,1914,,1914,,,,1939,1939,25-25 years,25,Nation state,unknown,Southern Europe,,Correlates of War (2020),,,,,,Tirana,41.31666667,Europe,19.816667,,,,,,,,FALSE
Finland,1917,,1917,,,,2016,2016,99-99 years,99,Nation state,unknown,Northern Europe,,Correlates of War (2020),,,,,,Helsinki,60.16666667,Europe,24.933333,,,,,,,,TRUE
Weimar Republic,1918,,1918,,,,1933,1933,15-15 years,15,Nation state,unknown,Western Europe,,,,,,,,,,,,,,,,,,,FALSE
Czechoslovakia,1918,,1918,,,,1939,1939,21-21 years,21,Nation state,unknown,Eastern Europe,,Correlates of War (2020),,,,,,Prague,50.08333333,Europe,14.466667,,,,,,,,FALSE
Poland,1918,,1918,,,,1939,1939,21-21 years,21,Nation state,unknown,Eastern Europe,,Correlates of War (2020),,,,,,Warsaw,52.233333,Europe,21.016667,,,,,,,,FALSE
